dimension,horizon,held_out_function,final_regret_optimistic_improvement_movement_cost2,final_regret_optimistic_improvement_movement_cost3,regret_diff_pct,mean_total_scaled_move_cost_optimistic_improvement_movement_cost2,mean_total_scaled_move_cost_optimistic_improvement_movement_cost3,mean_decision_time_optimistic_improvement_movement_cost2,mean_decision_time_optimistic_improvement_movement_cost3,basis,winner
10,3,ackley,0.13831320789521984,0.18246382866523728,-24.196916776869624,6.289492204737272,6.30280261791274,136.74800402323407,126.21623004436492,regret,optimistic_improvement_movement_cost2
10,3,levy,0.618122917477694,0.6524095222932684,-5.25538080668327,10.698544665938499,10.606585713285604,125.59008589108787,78.92449145158132,regret,optimistic_improvement_movement_cost2
10,3,michalewicz,-1.412014772083605,-1.412014772083605,0.0,11.451430993021537,11.48993207689332,70.54093649546304,212.52761671384175,move_cost_tiebreak,optimistic_improvement_movement_cost2
10,3,rastrigin,20.34597328999226,20.238185655298814,0.5297737943382779,10.615196238060342,10.574794145524553,211.50592579046884,145.606770418485,move_cost_tiebreak,optimistic_improvement_movement_cost3
10,3,rosenbrock,17.505321042017226,17.654502856323614,-0.8450071662762971,11.274536432213319,11.267927698449475,125.20258516947429,163.216955037117,move_cost_tiebreak,optimistic_improvement_movement_cost3
10,3,schwefel,4182.210448828863,4182.325300297821,-0.0027461151563076456,48.13197412129796,49.667822920525786,63.70666102409363,187.65815160592396,move_cost_tiebreak,optimistic_improvement_movement_cost2
10,3,sphere,0.005893363338033163,0.009169937051589527,-35.73169254186319,5.680311262205007,5.8394506132437085,228.37672653516134,67.01830627918244,regret,optimistic_improvement_movement_cost2
10,3,sum_square,0.04213527535670621,0.0394201890799006,6.443736877996884,6.5495423917330635,6.8115448587182925,223.19179269154867,77.23601156075794,regret,optimistic_improvement_movement_cost3
10,5,ackley,0.12441816864309792,0.11705397036484581,5.918909077802627,5.653194227791922,5.666391151784079,304.92435205141703,136.88649168332418,regret,optimistic_improvement_movement_cost3
10,5,levy,0.6563246824112859,0.6660780983438475,-1.464305155328278,9.880152623330796,9.680386765151239,201.69451901435852,237.07580011526747,move_cost_tiebreak,optimistic_improvement_movement_cost3
10,5,michalewicz,-1.412014772083605,-1.412014772083605,0.0,11.09677445020876,10.98589826979262,88.17762225786845,121.7010526943207,move_cost_tiebreak,optimistic_improvement_movement_cost3
10,5,rastrigin,15.427777627998447,9.908196006867021,35.77690678607169,8.902311509223184,8.611318821890167,94.33134372870127,228.32046712239583,regret,optimistic_improvement_movement_cost3
10,5,rosenbrock,15.381182967158201,14.364688330536246,6.6086895838399915,9.748842668852761,9.991888489699965,187.11896630605062,104.50997334798177,regret,optimistic_improvement_movement_cost3
10,5,schwefel,4182.195707988992,4182.180387590875,0.00036632427523675343,54.678616772506984,55.54569954962343,88.12656843344371,341.06357372283935,move_cost_tiebreak,optimistic_improvement_movement_cost2
10,5,sphere,0.004599575252178131,0.006353122352019851,-27.601343129873992,4.99069054611164,5.0254181875308355,282.1705139033,341.07027070522304,regret,optimistic_improvement_movement_cost2
10,5,sum_square,0.029704790474647098,0.04419685991904132,-32.789816903147475,5.645610006334948,5.483541870541163,171.63839698314666,128.69270793596903,regret,optimistic_improvement_movement_cost2
3,3,ackley,0.023129685297803793,0.02371441386129473,-2.4657095339189348,1.7792179499282437,1.8051248523952552,65.42492781162262,72.96822610855104,move_cost_tiebreak,optimistic_improvement_movement_cost2
3,3,levy,0.09770324723457513,0.097970639984789,-0.27293151321190107,5.353982763487657,5.45985424598733,108.08261583169302,136.9193195613225,move_cost_tiebreak,optimistic_improvement_movement_cost2
3,3,michalewicz,-0.005706319553630619,-0.005706319553630619,0.0,4.386268623360243,4.368832952610759,259.74646659374235,180.3657896820704,move_cost_tiebreak,optimistic_improvement_movement_cost3
3,3,rastrigin,1.064461199155577,1.1146014582286767,-4.498492147388947,4.024224148448062,3.7402491805652276,70.11058829466502,304.77882384459184,move_cost_tiebreak,optimistic_improvement_movement_cost3
3,3,rosenbrock,1.3235665133803816,1.3884061889251704,-4.670079697281115,3.74279417117892,3.5729902555376825,142.02032956759135,152.4425329208374,move_cost_tiebreak,optimistic_improvement_movement_cost3
3,3,schwefel,1254.4267506078822,1254.4270889237926,-2.696975482270189e-05,2.915173404465989,3.0522608331461956,67.86092607657115,318.66376840591425,move_cost_tiebreak,optimistic_improvement_movement_cost2
3,3,sphere,0.00019702137610444663,0.00017589668723261604,10.722028893266785,1.5430680654673832,1.4863353366164536,73.06429485797882,61.79760669867198,regret,optimistic_improvement_movement_cost3
3,3,sum_square,9.558103635313297e-05,0.00024467562445687724,-60.935611561102355,1.630894931953699,1.5482019635807138,96.25293897946676,163.3299130630493,regret,optimistic_improvement_movement_cost2
