dimension,horizon,held_out_function,reward,selection,best_config_found,config_id,mean_rank,test_config_found,test_status,score,best_regret,final_regret,mean_budget_fraction_used,mean_remaining_movement_budget,mean_total_raw_move_cost,std_total_raw_move_cost,mean_total_scaled_move_cost,std_total_scaled_move_cost,mean_decision_time,std_decision_time
3,3,ackley,earlbo,flat_grid,False,nan,nan,True,ok,0.037629074569305455,0.037629074569305455,0.037629074569305455,nan,nan,4.695575240082474,0.9278912571257287,4.695575240082474,0.9278912571257281,107.4621910715103,8.396279007448422
3,3,ackley,snake,leave_one_function_out,True,0,1.5,True,ok,0.03665939726858669,0.03665939726858669,0.03665939726858669,nan,nan,3.86231304207876,0.47194214090675524,3.86231304207876,0.47194214090675524,112.03129228909809,17.657262810085413
3,3,ackley,log_improvement,leave_one_function_out,True,0,1.75,True,ok,0.0404427147259819,0.0404427147259819,0.0404427147259819,nan,nan,5.247666450651741,1.8837559719501231,5.247666450651742,1.8837559719501236,51.276331712404875,7.707137632830367
3,3,ackley,log_improvement_movement_cost2,leave_one_function_out,False,nan,nan,True,ok,0.023041177468074842,0.023041177468074842,0.023041177468074842,nan,nan,1.778913414163368,0.29742878773953463,1.778913414163368,0.2974287877395348,70.51417753219603,5.3881832095614755
3,3,ackley,log_improvement_movement_cost3,leave_one_function_out,True,2,3.0,True,ok,0.030407909336546118,0.030014434387234907,0.030014434387234907,nan,nan,1.7196901662017545,0.25413031936760777,1.7196901662017545,0.25413031936760766,72.7456046183904,3.7190667048131427
3,3,ackley,optimistic_improvement,leave_one_function_out,True,2,1.5,True,ok,0.030766890654373658,0.030766890654373658,0.030766890654373658,nan,nan,4.615420139645353,1.2551153687833858,4.615420139645353,1.2551153687833856,51.46266013145447,6.605410379277681
3,3,ackley,optimistic_improvement_movement_cost2,leave_one_function_out,False,nan,nan,True,ok,0.023129685297803793,0.023129685297803793,0.023129685297803793,nan,nan,1.7792179499282437,0.20074176199532803,1.7792179499282437,0.20074176199532803,65.42492781162262,4.995743520008364
3,3,ackley,optimistic_improvement_movement_cost3,leave_one_function_out,True,3,2.5,True,ok,0.02371441386129473,0.02371441386129473,0.02371441386129473,nan,nan,1.8051248523952548,0.22034283280306005,1.8051248523952552,0.22034283280306025,72.96822610855104,4.0715049376899275
3,3,ackley,budgeted_exploration,leave_one_function_out,True,0,2.5,True,ok,0.05251888282171935,0.05251888282171935,0.05251888282171935,0.6944720864230804,1.434629306145842,3.2609459339366325,0.2140610445817755,3.2609459339366325,0.2140610445817757,47.68781449476878,6.448933259257269
3,3,ackley,lookahead_budgeted_exploration,leave_one_function_out,True,72,17.5,True,ok,0.03739594598409276,0.03739594598409276,0.03739594598409276,0.6615812837161449,1.5890705449629656,3.106504695119509,0.13929733532209118,3.106504695119509,0.13929733532209101,235.78963164806365,59.37055965472289
