function,method,reward_dir,iteration,best_regret_mean,best_regret_std,cum_scaled_move_cost_mean,cum_scaled_move_cost_std
ackley,pure_bo,pure_bo,0,2.038680484865532,0.6206666533085303,0.6053877623293992,0.1025090975191663
ackley,pure_bo,pure_bo,1,1.5743252940671812,0.704830756713905,0.6984511839184958,0.09011151640245371
ackley,pure_bo,pure_bo,2,1.2910193588658438,0.8251541371937907,0.8031002378099469,0.11536408282869051
ackley,pure_bo,pure_bo,3,1.2284278484456803,0.8135745238036974,0.9165610320638377,0.11992508759352602
ackley,pure_bo,pure_bo,4,1.2284278484456803,0.8135745238036974,1.055684182012424,0.09538566359233264
ackley,pure_bo,pure_bo,5,1.0416423292032353,0.5495164497310671,1.2453749069643167,0.1242926298259086
ackley,pure_bo,pure_bo,6,0.8770716290253747,0.7008894056437814,1.3642381471417562,0.09171223327495757
ackley,pure_bo,pure_bo,7,0.8770716290253747,0.7008894056437814,1.4859973756059988,0.09269111263877068
ackley,pure_bo,pure_bo,8,0.7824769612606102,0.7397918421476212,1.6213347111835714,0.11569509854006083
ackley,pure_bo,pure_bo,9,0.7824769612606102,0.7397918421476212,1.7565066204638031,0.15482451869699765
ackley,pure_bo,pure_bo,10,0.7824769612606102,0.7397918421476212,2.5067532978279625,0.24453095753668586
ackley,pure_bo,pure_bo,11,0.7824769612606102,0.7397918421476212,3.5284247574842946,0.866209987286996
ackley,pure_bo,pure_bo,12,0.7824769612606102,0.7397918421476212,4.960057407937341,1.291028777881686
ackley,pure_bo,pure_bo,13,0.7824769612606102,0.7397918421476212,6.270151310391042,1.4382685649480416
ackley,pure_bo,pure_bo,14,0.7824769612606102,0.7397918421476212,8.151788206718367,1.775943716991086
ackley,pure_bo,pure_bo,15,0.7824769612606102,0.7397918421476212,9.497661468465205,2.3212752731890114
ackley,pure_bo,pure_bo,16,0.7824769612606102,0.7397918421476212,10.897602425097041,2.5636585052274343
