function,method,reward_dir,iteration,best_regret_mean,best_regret_std,cum_scaled_move_cost_mean,cum_scaled_move_cost_std
rastrigin,pure_bo,pure_bo,0,101.45693296038036,23.069538879151047,1.0261000377295282,0.2192534577297652
rastrigin,pure_bo,pure_bo,1,101.45693296038036,23.069538879151047,1.5579200837883445,0.569641128675569
rastrigin,pure_bo,pure_bo,2,101.45693296038036,23.069538879151047,2.4451965315841417,0.7511916795414151
rastrigin,pure_bo,pure_bo,3,101.45693296038036,23.069538879151047,3.1456615991758645,0.7028072421261349
rastrigin,pure_bo,pure_bo,4,99.65446759528214,20.712366424255755,4.044902033672002,0.8818685511513044
rastrigin,pure_bo,pure_bo,5,99.65446759528214,20.712366424255755,4.3948837817785105,0.9585423525474678
rastrigin,pure_bo,pure_bo,6,99.65446759528214,20.712366424255755,5.007797010463205,1.2102183917203668
rastrigin,pure_bo,pure_bo,7,97.59771021728962,18.086346015559002,5.668696966215818,1.4543165024756155
rastrigin,pure_bo,pure_bo,8,97.59771021728962,18.086346015559002,6.657961013787699,2.054164765624427
rastrigin,pure_bo,pure_bo,9,97.59771021728962,18.086346015559002,7.448964379449962,2.588169347999466
rastrigin,pure_bo,pure_bo,10,97.59771021728962,18.086346015559002,8.357806605849452,2.757072454616599
rastrigin,pure_bo,pure_bo,11,97.59771021728962,18.086346015559002,8.734868690994277,2.988315360228422
rastrigin,pure_bo,pure_bo,12,97.59771021728962,18.086346015559002,9.557583319410854,2.7778781183596704
rastrigin,pure_bo,pure_bo,13,97.59771021728962,18.086346015559002,10.50586311649595,2.559910989327509
rastrigin,pure_bo,pure_bo,14,97.59771021728962,18.086346015559002,11.422665111392194,2.47481409331004
rastrigin,pure_bo,pure_bo,15,97.59771021728962,18.086346015559002,12.269612767935866,2.520662523907255
rastrigin,pure_bo,pure_bo,16,97.59771021728962,18.086346015559002,12.848741096252056,2.2274138461860695
rastrigin,pure_bo,pure_bo,17,97.59771021728962,18.086346015559002,13.335289858436619,2.0823436744431056
rastrigin,pure_bo,pure_bo,18,97.59771021728962,18.086346015559002,13.826698899062647,1.9306226895439136
rastrigin,pure_bo,pure_bo,19,97.59771021728962,18.086346015559002,14.571397963373782,2.1849255018423035
rastrigin,pure_bo,pure_bo,20,97.59771021728962,18.086346015559002,15.179150300297914,2.4780438840691135
rastrigin,pure_bo,pure_bo,21,93.91016914729884,19.05054806116632,15.356885902557138,2.549876357827069
rastrigin,pure_bo,pure_bo,22,93.91016914729884,19.05054806116632,15.551445816223731,2.589226909560944
rastrigin,pure_bo,pure_bo,23,93.91016914729884,19.05054806116632,15.85354811221319,2.7376887705634583
rastrigin,pure_bo,pure_bo,24,89.0098423960214,12.337668965446404,16.505529377635263,2.699303292683529
rastrigin,pure_bo,pure_bo,25,89.0098423960214,12.337668965446404,17.255287499914612,2.742661905815685
rastrigin,pure_bo,pure_bo,26,89.0098423960214,12.337668965446404,17.867944630160498,2.6952453093001543
rastrigin,pure_bo,pure_bo,27,89.0098423960214,12.337668965446404,18.22452938585074,2.4777281719612296
rastrigin,pure_bo,pure_bo,28,89.0098423960214,12.337668965446404,18.5092400727636,2.16183241298929
rastrigin,pure_bo,pure_bo,29,89.0098423960214,12.337668965446404,19.244533582732725,2.250412991571425
rastrigin,pure_bo,pure_bo,30,87.84010708398343,12.785771342427251,20.09687932510714,2.251586226901862
rastrigin,pure_bo,pure_bo,31,87.84010708398343,12.785771342427251,20.37888389215312,2.014276199318372
rastrigin,pure_bo,pure_bo,32,87.84010708398343,12.785771342427251,20.92608895326257,2.7048087283217037
rastrigin,pure_bo,pure_bo,33,87.84010708398343,12.785771342427251,21.681918373036122,3.343397593001211
rastrigin,pure_bo,pure_bo,34,84.38041164592805,15.12633155201269,22.531829007298015,3.966097710648834
rastrigin,pure_bo,pure_bo,35,84.38041164592805,15.12633155201269,23.224422686480082,3.8390964061214206
rastrigin,pure_bo,pure_bo,36,84.38041164592805,15.12633155201269,23.88531788000978,3.755803847266654
rastrigin,pure_bo,pure_bo,37,84.38041164592805,15.12633155201269,24.50820784300412,3.7094785552658434
rastrigin,pure_bo,pure_bo,38,84.38041164592805,15.12633155201269,24.785932863296367,3.770403703780954
rastrigin,pure_bo,pure_bo,39,84.38041164592805,15.12633155201269,25.240636458350256,3.921227087158009
rastrigin,pure_bo,pure_bo,40,84.38041164592805,15.12633155201269,25.77160482636448,4.074223345097378
rastrigin,pure_bo,pure_bo,41,82.29985947830319,12.211899803825888,25.989741788227448,4.0099177511566415
rastrigin,pure_bo,pure_bo,42,78.29989406324798,6.677893715292656,26.281787763590724,4.219482297216944
rastrigin,pure_bo,pure_bo,43,78.29989406324798,6.677893715292656,26.801614823163437,4.533299674671248
rastrigin,pure_bo,pure_bo,44,78.29989406324798,6.677893715292656,27.430955651601007,4.788622764779044
rastrigin,pure_bo,pure_bo,45,78.29989406324798,6.677893715292656,27.827986947858193,4.850845486068846
rastrigin,pure_bo,pure_bo,46,78.29989406324798,6.677893715292656,28.180466950588126,4.830005267079691
rastrigin,pure_bo,pure_bo,47,72.5305212323881,11.708393857470059,28.359891584284743,4.63716251423139
rastrigin,pure_bo,pure_bo,48,72.5305212323881,11.708393857470059,28.734978138682152,4.594182375223858
rastrigin,pure_bo,pure_bo,49,72.5305212323881,11.708393857470059,29.632945721730966,5.2063909001489375
rastrigin,earlbo,earlbo,0,106.32142558684667,7.243220722670861,0.9741139848546881,0.17420263688008245
rastrigin,earlbo,earlbo,1,89.9618864415308,14.743830994280048,1.2748753973623372,0.16054432122538217
rastrigin,earlbo,earlbo,2,79.94603839967967,6.117628220037115,1.543770022866682,0.16974950032513783
rastrigin,earlbo,earlbo,3,79.94603839967967,6.117628220037115,1.8043020849822258,0.21937830180089896
rastrigin,earlbo,earlbo,4,79.94603839967967,6.117628220037115,2.1695533028575245,0.1857446711973793
rastrigin,earlbo,earlbo,5,79.94603839967967,6.117628220037115,2.490983292091195,0.2148181272148251
rastrigin,earlbo,earlbo,6,79.94603839967967,6.117628220037115,2.7745041411760805,0.1520361582304172
rastrigin,earlbo,earlbo,7,79.94603839967967,6.117628220037115,3.4671889107031357,0.3296341256884125
rastrigin,earlbo,earlbo,8,76.4749135847028,2.5091890470740648,4.1977474183202395,0.42307775492456634
rastrigin,earlbo,earlbo,9,76.4749135847028,2.5091890470740648,4.559405051907763,0.30838007782000926
rastrigin,earlbo,earlbo,10,76.4749135847028,2.5091890470740648,4.932158233025942,0.4157651037675518
rastrigin,earlbo,earlbo,11,76.4749135847028,2.5091890470740648,5.449008566828051,0.5700697435836111
rastrigin,earlbo,earlbo,12,76.4749135847028,2.5091890470740648,5.992685177142522,0.5841631597201151
rastrigin,earlbo,earlbo,13,76.4749135847028,2.5091890470740648,6.336201662790242,0.45668073997821385
rastrigin,earlbo,earlbo,14,76.4749135847028,2.5091890470740648,6.677838525203246,0.473154121941468
rastrigin,earlbo,earlbo,15,76.4749135847028,2.5091890470740648,7.212809929501405,0.5343772908598075
rastrigin,earlbo,earlbo,16,76.4749135847028,2.5091890470740648,7.677110402043887,0.6533728060234585
rastrigin,earlbo,earlbo,17,76.4749135847028,2.5091890470740648,8.049421453449648,0.5542909151097263
rastrigin,earlbo,earlbo,18,76.4749135847028,2.5091890470740648,8.674017246560245,0.40737966796493774
rastrigin,earlbo,earlbo,19,74.68203243071012,3.0154256323533914,9.278453280161802,0.45639705828248006
rastrigin,earlbo,earlbo,20,74.68203243071012,3.0154256323533914,9.984476426890142,0.6006242448447571
rastrigin,earlbo,earlbo,21,74.68203243071012,3.0154256323533914,10.822376132458203,0.8495991065978581
rastrigin,earlbo,earlbo,22,74.68203243071012,3.0154256323533914,11.305707232666037,0.900258851258949
rastrigin,earlbo,earlbo,23,74.68203243071012,3.0154256323533914,11.75620399009078,0.9889594460010663
rastrigin,earlbo,earlbo,24,74.68203243071012,3.0154256323533914,12.238858610130785,1.0656837007557758
rastrigin,earlbo,earlbo,25,74.68203243071012,3.0154256323533914,12.679186150503257,0.9208916860854081
rastrigin,earlbo,earlbo,26,74.68203243071012,3.0154256323533914,13.249453583724149,0.7575474433498701
rastrigin,earlbo,earlbo,27,74.68203243071012,3.0154256323533914,13.842980347471103,1.0048744500739635
rastrigin,earlbo,earlbo,28,74.68203243071012,3.0154256323533914,14.512858439514176,1.4495307194079516
rastrigin,earlbo,earlbo,29,74.68203243071012,3.0154256323533914,15.10198438319897,1.6665420243308773
rastrigin,earlbo,earlbo,30,74.68203243071012,3.0154256323533914,15.784249561776994,1.645340369128098
rastrigin,earlbo,earlbo,31,74.68203243071012,3.0154256323533914,16.304448638822382,1.5250742379770248
rastrigin,earlbo,earlbo,32,74.68203243071012,3.0154256323533914,16.680248304129453,1.5505360107413095
rastrigin,earlbo,earlbo,33,74.68203243071012,3.0154256323533914,17.283441944296538,1.791425263820486
rastrigin,earlbo,earlbo,34,74.68203243071012,3.0154256323533914,18.091952692153598,2.0136736820452636
rastrigin,earlbo,earlbo,35,74.68203243071012,3.0154256323533914,18.73996824183104,2.2236311821457426
rastrigin,earlbo,earlbo,36,74.68203243071012,3.0154256323533914,19.319813247034745,2.164572304037464
rastrigin,earlbo,earlbo,37,74.68203243071012,3.0154256323533914,19.814160224852483,2.164744485232873
rastrigin,earlbo,earlbo,38,74.68203243071012,3.0154256323533914,20.368874070106042,2.0034041191268717
rastrigin,earlbo,earlbo,39,74.68203243071012,3.0154256323533914,20.862295640178075,1.986026746023287
rastrigin,earlbo,earlbo,40,74.68203243071012,3.0154256323533914,21.73953792059255,1.9750525476121334
rastrigin,earlbo,earlbo,41,74.68203243071012,3.0154256323533914,22.630881319923333,2.06539971481521
rastrigin,earlbo,earlbo,42,74.68203243071012,3.0154256323533914,23.313034944542824,2.361788627907944
rastrigin,earlbo,earlbo,43,74.68203243071012,3.0154256323533914,23.7864871737939,2.4553547185927678
rastrigin,earlbo,earlbo,44,74.68203243071012,3.0154256323533914,24.38320536157087,2.542818027009153
rastrigin,earlbo,earlbo,45,74.68203243071012,3.0154256323533914,25.060583958653996,2.701885826077184
rastrigin,earlbo,earlbo,46,74.68203243071012,3.0154256323533914,25.60621822486034,2.7195079293214874
rastrigin,earlbo,earlbo,47,74.68203243071012,3.0154256323533914,26.113177298357456,2.8933766922749613
rastrigin,earlbo,earlbo,48,74.68203243071012,3.0154256323533914,26.69734875999768,3.0113136499295736
rastrigin,earlbo,earlbo,49,74.01978109533975,3.4881338029507707,27.246733879138244,2.805968391796051
rastrigin,snake,snake,0,110.53501619989498,10.617536752113782,0.9095201290630266,0.16962506232410127
rastrigin,snake,snake,1,99.60018137817092,10.005681501686214,1.1240967455457291,0.17861747843546155
rastrigin,snake,snake,2,94.75408531473322,3.995897154287623,1.3909471133916564,0.23390913168814784
rastrigin,snake,snake,3,94.75408531473322,3.995897154287623,1.6641701542179639,0.23092223551692787
rastrigin,snake,snake,4,94.55679873019483,4.268469170034159,2.1178886458951602,0.26194188156766546
rastrigin,snake,snake,5,94.25587024109996,4.685692087189843,2.6021244573561373,0.46811589926648134
rastrigin,snake,snake,6,75.13889552495964,15.114935780653415,2.817935766973047,0.39983074758102516
rastrigin,snake,snake,7,66.53025139989172,12.748313248870483,3.1213456415296044,0.5262298810158939
rastrigin,snake,snake,8,66.53025139989172,12.748313248870483,3.458348032111912,0.809258214467256
rastrigin,snake,snake,9,66.53025139989172,12.748313248870483,3.884697706909126,1.1713360708631
rastrigin,snake,snake,10,66.53025139989172,12.748313248870483,4.281307529042115,1.379631288359563
rastrigin,snake,snake,11,66.53025139989172,12.748313248870483,4.834218236922898,1.5726381876301336
rastrigin,snake,snake,12,66.53025139989172,12.748313248870483,5.351253659437217,1.702965591647065
rastrigin,snake,snake,13,64.52304713904412,10.025874745611949,5.718678398220434,1.9150922787615376
rastrigin,snake,snake,14,64.52304713904412,10.025874745611949,6.087167521248966,2.153368783196641
rastrigin,snake,snake,15,64.52304713904412,10.025874745611949,6.3440846945061224,2.24329951152288
rastrigin,snake,snake,16,64.52304713904412,10.025874745611949,6.8476468801555415,2.2662992225258893
rastrigin,snake,snake,17,64.52304713904412,10.025874745611949,7.694489641363884,2.254338822772783
rastrigin,snake,snake,18,64.52304713904412,10.025874745611949,8.463197074584414,2.341576306435483
rastrigin,snake,snake,19,64.52304713904412,10.025874745611949,8.913439282688666,2.414005184311195
rastrigin,snake,snake,20,64.52304713904412,10.025874745611949,9.447943456167236,2.5955993732697897
rastrigin,snake,snake,21,64.52304713904412,10.025874745611949,9.894062155465253,2.9735541205648657
rastrigin,snake,snake,22,64.52304713904412,10.025874745611949,10.612715524276135,3.1849667820330474
rastrigin,snake,snake,23,64.52304713904412,10.025874745611949,11.281248452071493,3.256184182817135
rastrigin,snake,snake,24,57.42725717960112,3.243358121050563,11.82105970835588,3.555111070352173
