dimension,horizon,held_out_function,reward,best_config_found,config_id,mean_rank,test_config_found,test_status,score,best_regret,final_regret,mean_budget_fraction_used,mean_remaining_movement_budget,mean_total_raw_move_cost,std_total_raw_move_cost,mean_total_scaled_move_cost,std_total_scaled_move_cost
3,3,ackley,earlbo,False,nan,nan,True,ok,0.037629074569305455,0.037629074569305455,0.037629074569305455,nan,nan,4.695575240082474,0.9278912571257287,4.695575240082474,0.9278912571257281
3,3,ackley,snake,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,ackley,log_improvement,True,0,1.75,True,ok,0.0404427147259819,0.0404427147259819,0.0404427147259819,nan,nan,5.247666450651741,1.8837559719501231,5.247666450651742,1.8837559719501236
3,3,ackley,normalized_improvement,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,ackley,optimistic_improvement,True,2,1.5,True,ok,0.030766890654373658,0.030766890654373658,0.030766890654373658,nan,nan,4.615420139645353,1.2551153687833858,4.615420139645353,1.2551153687833856
3,3,ackley,budgeted_exploration,True,0,2.5,True,ok,0.05251888282171935,0.05251888282171935,0.05251888282171935,0.6944720864230804,1.434629306145842,3.2609459339366325,0.2140610445817755,3.2609459339366325,0.2140610445817757
3,3,ackley,lookahead_budgeted_exploration,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,ackley,pure_bo,False,nan,nan,True,ok,0.22870604282765136,0.22870604282765136,0.22870604282765136,nan,nan,26.24812289630493,6.333284500795374,26.24812289630493,6.333284500795374
3,3,sphere,earlbo,False,nan,nan,True,ok,0.00019727507276545088,0.00019727507276545088,0.00019727507276545088,nan,nan,4.57488693134837,0.09580109999310932,4.57488693134837,0.09580109999310968
3,3,sphere,snake,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,sphere,log_improvement,True,1,1.75,True,ok,0.00015136578816409355,0.00015136578816409355,0.00015136578816409355,nan,nan,4.728924602754257,0.4000318432562456,4.728924602754257,0.4000318432562456
3,3,sphere,normalized_improvement,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,sphere,optimistic_improvement,True,2,1.5,True,ok,0.00014556546147488444,0.00014556546147488444,0.00014556546147488444,nan,nan,4.605311306592765,0.24072562201401063,4.605311306592765,0.24072562201401018
3,3,sphere,budgeted_exploration,True,0,2.75,True,ok,0.00017768638310094412,0.00017768638310094412,0.00017768638310094412,0.4057146937785545,2.7187880809248557,1.8560988504235152,0.2023405195101549,1.8560988504235147,0.20234051951015475
3,3,sphere,lookahead_budgeted_exploration,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,sphere,pure_bo,False,nan,nan,True,ok,0.006737960578274292,0.006737960578274292,0.006737960578274292,nan,nan,12.471133131475753,1.5638379030591718,12.471133131475753,1.5638379030591718
3,3,sum_square,earlbo,False,nan,nan,True,ok,0.0009330194473508415,0.0009330194473508415,0.0009330194473508415,nan,nan,4.652602972100454,0.41800707802517567,4.652602972100453,0.41800707802517534
3,3,sum_square,snake,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,sum_square,log_improvement,True,2,1.75,True,ok,0.000330466839534235,0.000330466839534235,0.000330466839534235,nan,nan,4.5889474509191,0.24547693768026513,4.5889474509191,0.24547693768026513
3,3,sum_square,normalized_improvement,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,sum_square,optimistic_improvement,True,2,1.5,True,ok,0.00014773420103913172,0.00014773420103913172,0.00014773420103913172,nan,nan,4.75496007913383,0.6476055377730716,4.75496007913383,0.6476055377730716
